"country","Date","Doses_admin","People_at_least_one_dose","Population","VaxxedPercentage","VaxxedOncePercentage","TotalDosesPerIndividual","state legitimacy","region","freedom_status","FOE","civil_liberties"
"Equatorial Guinea","2022-03-01",463549,257526,1402985,18.3555775721052,18.3555775721052,0.330401964383083,9.8,"Africa","NF",2,5
"Estonia","2022-03-01",1954093,857272,1326539,64.6247113729789,64.6247113729789,1.47307617793371,1.2,"Europe","F",16,56
"Eswatini","2022-03-01",490899,380363,NA,NA,NA,NA,NA,"Africa","NF",5,16
"Ethiopia","2022-03-01",24278976,19881897,NA,NA,NA,NA,8.5,"Africa","NF",4,11
"Fiji","2022-03-01",1287727,667739,NA,NA,NA,NA,5.8,"Asia","PF",11,35
"Finland","2022-03-01",11443055,4458538,5540718,80.4685963082763,80.4685963082763,2.06526572909865,0.3,"Europe","F",16,60
"France","2022-03-01",141493030,54337629,65273512,83.2460631197537,83.2460631197537,2.16769445468171,1.1,"Europe","F",14,51
"Gabon","2022-03-01",545642,277616,NA,NA,NA,NA,7.8,"Africa","NF",7,18
"Georgia","2022-03-01",2820546,1573695,NA,NA,NA,NA,8.3,"Eurasia","PF",9,36
"Germany","2022-03-01",174299649,64400625,83783945,76.8651141934174,76.8651141934174,2.08034664636524,0.4,"Europe","F",14,55
"Ghana","2022-03-01",12637542,8793591,31072945,28.2998312519138,28.2998312519138,0.406705640550003,3.2,"Africa","F",14,45
"Greece","2022-03-01",20147246,7858917,10423056,75.3993550451998,75.3993550451998,1.9329499908664,5.8,"Europe","F",14,50
"Grenada","2022-03-01",85891,42971,112519,38.1899945786934,38.1899945786934,0.763346634790569,4,"Americas","F",15,52
"Guatemala","2022-03-01",14535479,7184896,17915567,40.1042065819072,40.1042065819072,0.811332345775046,6.6,"Americas","PF",11,30
"Guinea","2022-03-01",5497389,3382832,13132792,25.7586657886609,25.7586657886609,0.41860017275839,10,"Africa","NF",10,24
"Guinea Bissau","2022-03-01",556675,514401,NA,NA,NA,NA,9,"Africa","PF",10,26
"Guyana","2022-03-01",808206,431597,786559,54.8715353838682,54.8715353838682,1.02752113954579,4.5,"Americas","F",15,43
"Haiti","2022-03-01",234119,151962,NA,NA,NA,NA,9.8,"Americas","NF",9,22
"Honduras","2022-03-01",11561083,5190314,9904608,52.4030229162022,52.4030229162022,1.16724286311987,7.1,"Americas","PF",9,26
"Hungary","2022-03-01",16143987,6394782,9660350,66.1961730165056,66.1961730165056,1.67115963707319,6.5,"Europe","PF",10,43
"Iceland","2022-03-01",801420,309374,341250,90.6590476190476,90.6590476190476,2.34848351648352,0.4,"Europe","F",15,57
"India","2022-03-01",1775178647,965733580,1380004385,69.9804718374138,69.9804718374138,1.28635725095903,4.4,"Asia","PF",9,33
"Indonesia","2022-03-01",345697245,190969599,273523621,69.818320736548,69.818320736548,1.26386614704841,4.5,"Asia","PF",9,29
"Iran","2022-03-01",141526830,62844117,83992953,74.8207019224577,74.8207019224577,1.68498457245574,9.3,"Middle East","NF",2,10
"Iraq","2022-03-01",16785945,9874526,NA,NA,NA,NA,8.3,"Middle East","NF",4,13
"Ireland","2022-03-01",10661042,4074469,4937796,82.5159443606014,82.5159443606014,2.15906894493009,0.6,"Europe","F",16,58
"Israel","2022-03-01",18057870,6707962,8655541,77.4990494528303,77.4990494528303,2.08627860465337,3,"Middle East","F",12,42
"Italy","2022-03-01",134159379,50659884,60461828,83.7882109684146,83.7882109684146,2.2189104007904,2.3,"Europe","F",15,54
"Jamaica","2022-03-01",1359844,767077,2961161,25.9046029580965,25.9046029580965,0.459226634418054,3.7,"Americas","F",15,46
"Japan","2022-03-01",231944786,101867369,126476458,80.542553618951,80.542553618951,1.83389691384305,0.2,"Asia","F",15,56
"Jordan","2022-03-01",9491363,4662686,10203140,45.6985398612584,45.6985398612584,0.930239416493354,6.4,"Middle East","NF",7,22
"Kazakhstan","2022-03-01",20884314,9382851,18776707,49.9706950744878,49.9706950744878,1.11224582670433,8.1,"Eurasia","NF",4,18
"Kenya","2022-03-01",16691191,8054405,53771300,14.9790036692436,14.9790036692436,0.310410776752654,7.3,"Africa","PF",10,29
"Kiribati","2022-03-01",120594,74579,NA,NA,NA,NA,NA,"Asia","F",16,56
"Kosovo","2022-03-01",1812571,899369,NA,NA,NA,NA,NA,"Europe","PF",9,31
"Kuwait","2022-03-01",7567520,3391299,4270563,79.4110518917529,79.4110518917529,1.77201928645005,7.1,"Middle East","PF",6,23
