"Date","country","Doses_admin","People_at_least_one_dose","Population","VaxxedPercentage","VaxxedOncePercentage","TotalDosesPerIndividual"
"2022-03-01","Gambia",362079,330027,2416664,13.6563047241983,13.6563047241983,0.149825958428644
"2022-03-01","Georgia",2820546,1573695,NA,NA,NA,NA
"2022-03-01","Germany",174299649,64400625,83783945,76.8651141934174,76.8651141934174,2.08034664636524
"2022-03-01","Ghana",12637542,8793591,31072945,28.2998312519138,28.2998312519138,0.406705640550003
"2022-03-01","Greece",20147246,7858917,10423056,75.3993550451998,75.3993550451998,1.9329499908664
"2022-03-01","Grenada",85891,42971,112519,38.1899945786934,38.1899945786934,0.763346634790569
"2022-03-01","Guatemala",14535479,7184896,17915567,40.1042065819072,40.1042065819072,0.811332345775046
"2022-03-01","Guinea",5497389,3382832,13132792,25.7586657886609,25.7586657886609,0.41860017275839
"2022-03-01","Guinea-Bissau",556675,514401,NA,NA,NA,NA
"2022-03-01","Guyana",808206,431597,786559,54.8715353838682,54.8715353838682,1.02752113954579
"2022-03-01","Haiti",234119,151962,NA,NA,NA,NA
"2022-03-01","Honduras",11561083,5190314,9904608,52.4030229162022,52.4030229162022,1.16724286311987
"2022-03-01","Hungary",16143987,6394782,9660350,66.1961730165056,66.1961730165056,1.67115963707319
"2022-03-01","Iceland",801420,309374,341250,90.6590476190476,90.6590476190476,2.34848351648352
"2022-03-01","India",1775178647,965733580,1380004385,69.9804718374138,69.9804718374138,1.28635725095903
"2022-03-01","Indonesia",345697245,190969599,273523621,69.818320736548,69.818320736548,1.26386614704841
"2022-03-01","Iran",141526830,62844117,83992953,74.8207019224577,74.8207019224577,1.68498457245574
"2022-03-01","Iraq",16785945,9874526,NA,NA,NA,NA
"2022-03-01","Ireland",10661042,4074469,4937796,82.5159443606014,82.5159443606014,2.15906894493009
"2022-03-01","Israel",18057870,6707962,8655541,77.4990494528303,77.4990494528303,2.08627860465337
"2022-03-01","Italy",134159379,50659884,60461828,83.7882109684146,83.7882109684146,2.2189104007904
"2022-03-01","Jamaica",1359844,767077,2961161,25.9046029580965,25.9046029580965,0.459226634418054
"2022-03-01","Japan",231944786,101867369,126476458,80.542553618951,80.542553618951,1.83389691384305
"2022-03-01","Jordan",9491363,4662686,10203140,45.6985398612584,45.6985398612584,0.930239416493354
"2022-03-01","Kazakhstan",20884314,9382851,18776707,49.9706950744878,49.9706950744878,1.11224582670433
"2022-03-01","Kenya",16691191,8054405,53771300,14.9790036692436,14.9790036692436,0.310410776752654
"2022-03-01","Kiribati",120594,74579,NA,NA,NA,NA
"2022-03-01","Korea, South",119359992,44608525,NA,NA,NA,NA
"2022-03-01","Kosovo",1812571,899369,NA,NA,NA,NA
"2022-03-01","Kuwait",7567520,3391299,4270563,79.4110518917529,79.4110518917529,1.77201928645005
"2022-03-01","Kyrgyzstan",2739073,1441985,NA,NA,NA,NA
"2022-03-01","Laos",9215226,4909112,7275556,67.47404596982,67.47404596982,1.26660093056806
"2022-03-01","Latvia",2853123,1341697,1886202,71.1322011110157,71.1322011110157,1.51262855197906
"2022-03-01","Lebanon",5176128,2491955,6825442,36.5097967281826,36.5097967281826,0.758357920263625
"2022-03-01","Lesotho",857925,782175,NA,NA,NA,NA
"2022-03-01","Liberia",880313,1018979,NA,NA,NA,NA
