"Country","Doses_admin","Ppl_1_Dose","Population","VaxxedOncePercentage","TotalDosesPerIndividual","State_Illegitimacy","Region","Freedom_Status","FOE","Civil_Liberties"
"Guinea",5497389,3382832,13132792,25.7586657886609,0.41860017275839,10,"Africa","1",10,24
"Guinea Bissau",556675,514401,NA,NA,NA,9,"Africa","2",10,26
"Guyana",808206,431597,786559,54.8715353838682,1.02752113954579,4.5,"Americas","3",15,43
"Haiti",234119,151962,NA,NA,NA,9.8,"Americas","1",9,22
"Honduras",11561083,5190314,9904608,52.4030229162022,1.16724286311987,7.1,"Americas","2",9,26
"Hungary",16143987,6394782,9660350,66.1961730165056,1.67115963707319,6.5,"Europe","2",10,43
"Iceland",801420,309374,341250,90.6590476190476,2.34848351648352,0.4,"Europe","3",15,57
"India",1775178647,965733580,1380004385,69.9804718374138,1.28635725095903,4.4,"Asia","2",9,33
"Indonesia",345697245,190969599,273523621,69.818320736548,1.26386614704841,4.5,"Asia","2",9,29
"Iran",141526830,62844117,83992953,74.8207019224577,1.68498457245574,9.3,"Middle East","1",2,10
"Iraq",16785945,9874526,NA,NA,NA,8.3,"Middle East","1",4,13
"Ireland",10661042,4074469,4937796,82.5159443606014,2.15906894493009,0.6,"Europe","3",16,58
"Israel",18057870,6707962,8655541,77.4990494528303,2.08627860465337,3,"Middle East","3",12,42
"Italy",134159379,50659884,60461828,83.7882109684146,2.2189104007904,2.3,"Europe","3",15,54
"Jamaica",1359844,767077,2961161,25.9046029580965,0.459226634418054,3.7,"Americas","3",15,46
"Japan",231944786,101867369,126476458,80.542553618951,1.83389691384305,0.2,"Asia","3",15,56
"Jordan",9491363,4662686,10203140,45.6985398612584,0.930239416493354,6.4,"Middle East","1",7,22
"Kazakhstan",20884314,9382851,18776707,49.9706950744878,1.11224582670433,8.1,"Eurasia","1",4,18
"Kenya",16691191,8054405,53771300,14.9790036692436,0.310410776752654,7.3,"Africa","2",10,29
"Kiribati",120594,74579,NA,NA,NA,NA,"Asia","3",16,56
"Kosovo",1812571,899369,NA,NA,NA,NA,"Europe","2",9,31
"Kuwait",7567520,3391299,4270563,79.4110518917529,1.77201928645005,7.1,"Middle East","2",6,23
"Kyrgyzstan",2739073,1441985,NA,NA,NA,8.5,"Eurasia","1",10,23
"Laos",9215226,4909112,7275556,67.47404596982,1.26660093056806,9,"Asia","1",3,11
"Latvia",2853123,1341697,1886202,71.1322011110157,1.51262855197906,2.1,"Europe","3",14,51
"Lebanon",5176128,2491955,6825442,36.5097967281826,0.758357920263625,7.8,"Middle East","2",10,29
"Lesotho",857925,782175,NA,NA,NA,4.8,"Africa","2",12,36
"Liberia",880313,1018979,NA,NA,NA,6.5,"Africa","2",11,33
"Libya",3324621,2159157,NA,NA,NA,9.4,"Africa","1",4,8
"Liechtenstein",70233,26708,38137,70.0317277184886,1.84159739885151,NA,"Europe","3",16,57
"Lithuania",4451332,1946324,2722291,71.4958099630054,1.63514187131354,1.3,"Europe","3",15,51
"Luxembourg",1269558,479294,625976,76.5674722353573,2.02812567893977,0.3,"Europe","3",16,59
"Madagascar",1228391,1038325,NA,NA,NA,7,"Africa","2",11,34
"Malawi",1934835,1536112,19129955,8.02987774932037,0.101141638859056,7.4,"Africa","2",13,37
"Malaysia",67372325,27040666,32365998,83.5465231135465,2.0815772465907,6.4,"Asia","2",8,30
"Maldives",902028,398214,540542,73.669391092644,1.66874729438231,7.2,"Asia","2",3,21
"Mali",1634711,1155936,NA,NA,NA,8.5,"Africa","1",10,24
"Malta",1242888,470596,441539,106.580845633115,2.81489970308399,3.2,"Europe","3",14,54
"Mauritania",1937226,1539645,NA,NA,NA,7.9,"Africa","2",9,21
"Mauritius",2353567,937052,1271767,73.6811066807049,1.85062751274408,2.1,"Africa","3",14,50
"Mexico",181945907,85192820,127792286,66.6650724128998,1.42376283181913,6,"Americas","2",12,33
"Moldova",2067005,1074332,4033963,26.632172878135,0.51240058473516,5.2,"Eurasia","2",12,35
"Monaco",65140,28875,39244,73.5781265926001,1.65987157272449,NA,"Europe","3",16,57
"Mongolia",5467728,2271548,3278292,69.2905940044389,1.66785875083733,3.8,"Asia","3",14,48
"Montenegro",663335,288551,628062,45.9430756836109,1.05616165283045,3.8,"Europe","2",12,41
"Morocco",53735588,24842826,36910558,67.3054739513827,1.45583244772404,6.8,"Africa","2",7,24
"Mozambique",19066507,12195082,31255435,39.0174764804905,0.610022128951333,6.8,"Africa","2",9,29
"Namibia",814463,440661,2540916,17.3426040057995,0.32053912840881,3.1,"Africa","3",14,46
"Nauru",15128,7764,NA,NA,NA,NA,"Asia","3",13,43
"Nepal",37125732,21575023,29136808,74.0473115654948,1.27418665764623,6.1,"Asia","2",10,32
"Netherlands",32775813,12738307,17134873,74.341414727731,1.91281330185523,0.3,"Europe","3",16,58
"New Zealand",10629827,4259845,4822233,88.3376021025944,2.20433707786413,0.5,"Asia","3",16,59
"Nicaragua",9367505,5423137,NA,NA,NA,8.9,"Americas","1",5,18
"Niger",1840055,1474560,NA,NA,NA,6.8,"Africa","2",10,28
"Nigeria",26516526,17735985,206139587,8.60387141456726,0.128633836837948,8.5,"Africa","2",9,23
"North Macedonia",1826409,847017,2083380,40.6559053077211,0.876656682890303,4.8,"Europe","2",12,39
"Norway",11266569,4332112,5421242,79.9099542134441,2.07822653923215,0.3,"Europe","3",16,60
"Oman",6878593,3220696,5106622,63.0690111780351,1.3469947452543,6.9,"Middle East","1",5,18
"Pakistan",214661126,126722806,220892331,57.3685856029108,0.971790759001045,7.4,"Asia","2",6,22
"Panama",7544898,3331140,4314768,77.2032239045066,1.74862194212991,3.2,"Americas","3",15,48
"Papua New Guinea",547855,304082,NA,NA,NA,5.8,"Asia","2",14,39
